speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0013,F,['no info'],SP5U,1,"so how was <anon type=""place"" /> then?",6,50_plus,anon type place,50-plus,3
S0012,M,['no info'],SP5U,2,oh so busy,3,50_plus,oh busy,50-plus,2
S0013,F,['no info'],SP5U,3,really busy?,3,50_plus,really busy,50-plus,2
S0012,M,['no info'],SP5U,4,so busy,2,50_plus,busy,50-plus,1
S0013,F,['no info'],SP5U,5,cos er that's cos it's Friday,8,50_plus,cos er cos friday,50-plus,4
S0012,M,['no info'],SP5U,6,"I thought I'd never get a car park place but I just got the first one I saw <pause dur=""short"" /> that's why I didn't go in our usual place",30,50_plus,thought never get car park place got first one saw pause dur short go usual place,50-plus,16
S0013,F,['no info'],SP5U,7,mm,1,50_plus,mm,50-plus,1
S0012,M,['no info'],SP5U,8,"but er crowds and crowds <pause dur=""short"" /> I don't like going in on a Friday why didn't you tell me that was Friday today?",25,50_plus,er crowds crowds pause dur short like going friday tell friday today,50-plus,12
S0013,F,['no info'],SP5U,9,"you knew it was Friday <pause dur=""short"" /> you asked me this morning <pause dur=""short"" /> what's today?",14,50_plus,knew friday pause dur short asked morning pause dur short today,50-plus,11
S0012,M,['no info'],SP5U,10,"<vocal desc=""sigh"" />",0,50_plus,vocal desc sigh,50-plus,3
S0013,F,['no info'],SP5U,11,"<vocal desc=""laugh"" />",0,50_plus,vocal desc laugh,50-plus,3
S0012,M,['no info'],SP5U,12,it was quite horrible,4,50_plus,quite horrible,50-plus,2
S0013,F,['no info'],SP5U,13,I didn't know you were planning to go out,10,50_plus,know planning go,50-plus,3
S0012,M,['no info'],SP5U,14,"well <pause dur=""short"" /> when am I going to go out? tomorrow? Saturday?",13,50_plus,well pause dur short going go tomorrow saturday,50-plus,8
S0013,F,['no info'],SP5U,15,"I don't know I just didn't know you were planning today <pause dur=""long"" /> oh",14,50_plus,know know planning today pause dur long oh,50-plus,8
S0012,M,['no info'],SP5U,16,<trunc>wi</trunc>,0,50_plus,trunc wi trunc,50-plus,3
S0013,F,['no info'],SP5U,17,"<anon nameType=""f"" type=""name"" />'s out of hospital",5,50_plus,anon nametype f type name hospital,50-plus,6
S0012,M,['no info'],SP5U,18,is she? oh that,5,50_plus,oh,50-plus,1
S0013,F,['no info'],SP5U,19,yeah,1,50_plus,yeah,50-plus,1
S0012,M,['no info'],SP5U,20,was quick,2,50_plus,quick,50-plus,1
S0013,F,['no info'],SP5U,21,she's home,3,50_plus,home,50-plus,1
S0012,M,['no info'],SP5U,22,oh well,2,50_plus,oh well,50-plus,2
S0013,F,['no info'],SP5U,23,"yeah <pause dur=""short"" /> arrived home this afternoon",5,50_plus,yeah pause dur short arrived home afternoon,50-plus,7
S0012,M,['no info'],SP5U,24,oh <unclear />,2,50_plus,oh unclear,50-plus,2
S0013,F,['no info'],SP5U,25,"I hope there's someone that goes in to make sure she's alright though <pause dur=""short"" /> it's a <trunc>b</trunc> it's it's a bit <pause dur=""short"" /> you're in hospital one minute and then you're back home and you're ninety odd",41,50_plus,hope someone goes make sure alright though pause dur short trunc b trunc bit pause dur short hospital one minute back home ninety odd,50-plus,24
