speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0198,F,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,1,I don't know how cold it's gonna be out on this balcony for the beer,18,19_29,know cold gonna balcony beer,19-29,5
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,6,so this top one locks and this middle one locks don't pull that off,15,19_29,top one locks middle one locks pull,19-29,7
S0198,F,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,7,oh all locked up so that doesn't doesn't work,11,19_29,oh locked work,19-29,3
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,22,something an old curtain or a towel,7,19_29,something old curtain towel,19-29,4
S0198,F,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,25,oh the wind's picking up,6,19_29,oh wind picking,19-29,3
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,30,yeah we might be if we smoke another cigarette in here,11,19_29,yeah might smoke another cigarette,19-29,5
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,32,no yeah it's fine we'll just shut this door,11,19_29,yeah fine shut door,19-29,4
S0198,F,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,33,so I'll grab a curtain for us to sit down on,12,19_29,grab curtain us sit,19-29,4
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,34,"<vocal desc=""laugh"" /> you think it's okay",5,19_29,vocal desc laugh think okay,19-29,5
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,36,to sit on a curtain?,6,19_29,sit curtain,19-29,2
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,40,lighter,1,19_29,lighter,19-29,1
S0198,F,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,45,well,1,19_29,well,19-29,1
S0198,F,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,53,although I think there's another blanket we can sit on out there,13,19_29,although think another blanket sit,19-29,5
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,54,oh if you've got a blanket that would be great,11,19_29,oh got blanket would great,19-29,5
S0192,M,"['smoking cigarettes', 'moving apartments', 'future plans', 'university', 'family', 'inventory', 'music', 'extended family', 'marriage', 'living in south korea', 'friends', 'elt methodology', 'language', 'cooking', 'alcohol', 'making arrangements', 'driving', 'travelling.  ']",S38V,58,I've got the tobacco are we just sharing the bottle?,12,19_29,got tobacco sharing bottle,19-29,4
