speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,1,"yeah actually <pause dur=""short"" /> it has actually been yeah since my birthday",10,19_29,yeah actually pause dur short actually yeah since birthday,19-29,9
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,6,oh <trunc>y</trunc> I,2,19_29,oh trunc trunc,19-29,3
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,12,oh my <trunc>g</trunc>,2,19_29,oh trunc g trunc,19-29,4
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,14,no way,2,19_29,way,19-29,1
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,20,yeah,1,19_29,yeah,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,21,you <trunc>w</trunc> were you in Spain?,6,19_29,trunc w trunc spain,19-29,4
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,22,erm,1,19_29,erm,19-29,1
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,40,<unclear />,1,19_29,unclear,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,45,like I said and then just focus on the half marathon and that went really really well,17,19_29,like said focus half marathon went really really well,19-29,9
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,54,yeah,1,19_29,yeah,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,55,er then I <trunc>th</trunc> yeah went up to Newcastle for the weekend erm it was yeah I just seems actually ages ago now it was like,25,19_29,er trunc th trunc yeah went newcastle weekend erm yeah seems actually ages ago like,19-29,15
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,59,oh,1,19_29,oh,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,63,I ran <trunc>li</trunc> the whole way,5,19_29,ran trunc li trunc whole way,19-29,6
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,64,oh god,2,19_29,oh god,19-29,2
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,66,stop,1,19_29,stop,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,73,yeah,1,19_29,yeah,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,75,two er yeah two hours fifteen minutes of nonstop running and like after I got over the finish line I nearly started to cry I was like I'm so emotional right now,33,19_29,two er yeah two hours fifteen minutes nonstop running like got finish line nearly started cry like emotional right,19-29,19
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,76,I I'm not surprised,5,19_29,surprised,19-29,1
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,78,I I would have not been able to have not stop if I did it like,16,19_29,would able stop like,19-29,4
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,80,oh,1,19_29,oh,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,85,one jelly baby,3,19_29,one jelly baby,19-29,3
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,86,then at least make the most of it and like,10,19_29,least make like,19-29,3
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,91,really,1,19_29,really,19-29,1
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,95,and like I'd had this like horrible idea that I was gonna I need like the loo,19,19_29,like like horrible idea gonna need like loo,19-29,8
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,97,halfway round,2,19_29,halfway round,19-29,2
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,100,how annoying would that be though?,7,19_29,annoying would though,19-29,3
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,101,"I know <vocal desc=""laugh"" />",2,19_29,know vocal desc laugh,19-29,4
S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,109,yeah and like cos sometimes the queues are like ten people and you're like,15,19_29,yeah like cos sometimes queues like ten people like,19-29,9
S0451,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",STKV,110,yeah yeah,2,19_29,yeah yeah,19-29,2
